alpha,beta,example
0.3844753,0.6514296,0
0.38263866,0.6501977,0
0.82817894,0.30062604,0
0.8655312,0.28867447,0
0.83456844,0.299476,0
0.9362737,0.26685157,0
0.8842176,0.28149992,0
0.84664375,0.295455,0
0.75514585,0.3299089,0
0.53892463,0.46501517,0
0.5373546,0.46490315,0
0.6171961,0.40505728,0
0.5574381,0.4501513,0
0.5572041,0.44957244,0
0.6268452,0.39642957,0
0.62967,0.39862326,0
0.6298504,0.39897504,0
0.7344084,0.33989245,0
0.32514262,0.76940084,0
0.28278923,0.8834877,0
0.29272413,0.85231364,0
0.7684345,0.32478473,0
0.7685722,0.32640865,0
0.71782064,0.34676817,0
0.71817446,0.3482818,0
0.71527547,0.34954077,0
0.9885572,0.2528315,0
0.9874537,0.25262073,0
0.97377926,0.2563356,0
0.9729064,0.25637153,0
0.9789684,0.25418916,0
0.9317709,0.26705703,0
0.92441595,0.2707954,0
0.6210137,0.40189365,0
0.593378,0.42006394,0
0.40650344,0.6132999,0
0.57943773,0.43025607,0
0.49113825,0.5104839,0
0.49113825,0.5104839,0
0.49216402,0.50891656,0
0.30626494,0.80878836,0
0.5432262,0.45843676,0
0.33752388,0.73761624,0
0.42176157,0.5924904,0
0.4210943,0.59090894,0
0.42262077,0.59281063,0
0.4191136,0.5924505,0
0.9205293,0.27308443,0
0.9206194,0.2716249,0
0.92020774,0.2738657,0
0.9129619,0.2752079,0
0.9128598,0.27472517,0
0.91287816,0.2753033,0
0.912918,0.27144578,0
0.9134266,0.2755832,0
0.91395897,0.27153677,0
0.8739378,0.28680527,0
0.87297845,0.2847443,0
0.7133022,0.34814528,0
0.6637698,0.37469304,0
0.66482806,0.37667513,0
0.67692643,0.3701645,0
0.6762612,0.36720362,0
0.6774545,0.36806273,0
0.677946,0.3656636,0
0.6777929,0.36424363,0
0.68145186,0.36875394,0
0.32859933,0.7625889,0
0.328218,0.762429,0
0.32811636,0.7627872,0
0.32836434,0.76272005,0
0.4368011,0.57253236,0
0.4174578,0.59883946,0
0.41623092,0.5971553,0
0.78569996,0.32065678,0
0.78533584,0.31986746,0
0.7853006,0.3169551,0
0.7848009,0.31689116,0
0.4074431,0.61279106,0
0.4089551,0.61405945,0
0.40718228,0.6121085,0
0.40653163,0.61249995,0
0.38225147,0.6540669,0
0.3568204,0.6996858,0
0.5563892,0.4481569,0
0.6291842,0.39579114,0
0.62936014,0.3956816,0
0.6311577,0.39421442,0
0.6320052,0.39572573,0
0.8444939,0.29444575,0
0.8439995,0.29642683,0
0.8444419,0.29538855,0
0.74829054,0.33341965,0
0.6071596,0.41193047,0
0.60631937,0.41059875,0
0.2719607,0.9173136,0
0.27278927,0.9174579,0
0.28265315,0.88608056,0
0.30087242,0.8239538,0
0.30143696,0.8243191,0
0.29646364,0.8389627,0
0.28918514,0.8637076,0
0.31554988,0.791964,0
0.31619847,0.7881396,0
0.31626981,0.7878977,0
0.9536121,0.26122475,0
0.9535861,0.26344287,0
0.9535771,0.26382113,0
0.9628681,0.25894454,0
0.25011566,0.9985619,0
0.99144554,0.25234917,0
0.9931767,0.2509005,0
0.99353456,0.25108856,0
0.99353504,0.24898283,0
0.99355376,0.25071514,0
0.2556954,0.97754705,0
0.28285354,0.8800489,0
0.28284067,0.8858343,0
0.2819079,0.88589877,0
0.27795267,0.8961159,0
0.27837273,0.8960868,0
0.2762443,0.8959899,0
0.2769522,0.8959789,0
0.27882382,0.8959685,0
0.27934226,0.8939313,0
0.36832482,0.6791603,0
0.36673933,0.6779306,0
0.33853146,0.7339325,0
0.3126956,0.8001461,0
0.31197116,0.79995453,0
0.32334056,0.77418244,0
0.32268932,0.7741465,0
0.36394337,0.6850262,0
0.45335582,0.54985124,0
0.3788739,0.6577736,0
0.38787025,0.6451415,0
0.387186,0.64466196,0
0.3873807,0.64468884,0
0.48755658,0.51119083,0
0.48759446,0.51000243,0
0.48976594,0.5121471,0
0.4884397,0.5109744,0
0.53614396,0.46477363,0
0.5363578,0.4632783,0
0.54127085,0.46332017,0
0.33576986,0.73735374,0
0.26976967,0.92403483,0
0.26831236,0.92425007,0
0.26870644,0.9242806,0
0.27162674,0.9241522,0
0.27170098,0.92346305,0
0.2710494,0.9233548,0
0.25796142,0.96166337,0
0.26008195,0.96146166,0
0.7284975,0.34239876,0
0.3306433,0.7559735,0
0.3290024,0.7556003,0
0.32945493,0.7563856,0
0.62995,0.39598903,0
0.84145737,0.29629177,0
0.8409847,0.29866946,0
0.8415462,0.29606405,0
0.9403337,0.2653545,0
