beta,alpha
0.468451,0.53657645
0.4414282,0.5669234
0.45280793,0.55248344
0.47207052,0.52881813
0.49840236,0.5014949
0.4921849,0.50765294
0.48775673,0.5116649
0.48337632,0.51780194
0.42526186,0.5875111
0.4669454,0.53513974
0.47219965,0.528752
0.48177195,0.5190201
0.48259625,0.51833653
0.49339786,0.5069209
0.4598276,0.5521182
0.43286717,0.5769858
0.48126027,0.51976943
0.4771019,0.5253413
0.4898285,0.5103667
0.44809848,0.55756485
0.48278415,0.5167411
0.47618055,0.52595896
0.4746244,0.5261209
0.44562736,0.5613498
0.5677961,0.56229824
0.4558562,0.5483462
0.48543793,0.5148859
0.49515927,0.5047028
0.48425546,0.5163316
0.4541559,0.5501422
0.46972036,0.53067493
0.48041815,0.51979434
0.4601678,0.54414475
0.47900555,0.52277315
0.48022446,0.52010703
0.4660006,0.5392319
0.45665938,0.54913145
0.47376123,0.52950615
0.44536352,0.56178766
0.4795898,0.52181995
0.48031646,0.5180048
0.4973342,0.50374776
0.48758835,0.51291394
0.49073428,0.51208144
0.47197375,0.5295504
0.4822638,0.51877344
0.4858794,0.5129692
0.48618433,0.5152457
0.48780483,0.51138777
0.46533972,0.5363245
0.48215312,0.5186168
0.4874984,0.51312876
0.4494375,0.5564657
0.48251742,0.5179368
0.529684,0.47284204
0.4619008,0.5412789
0.45860907,0.5465126
0.44406503,0.5621738
0.45283428,0.5534283
0.47196925,0.5317464
0.47881117,0.52510554
0.47912097,0.521432
0.47473857,0.52623475
0.46735486,0.53548735
0.45323327,0.5525108
0.46721455,0.53570586
0.48187202,0.51891446
0.4487178,0.5576047
0.47345927,0.5309929
0.46210483,0.5410033
0.46897572,0.53544587
0.46441752,0.537468
0.49657756,0.50389975
0.45177346,0.5536987
0.4637827,0.5386894
0.47143528,0.5291994
0.4752812,0.52778035
0.46934372,0.533026
0.455651,0.549712
0.468853,0.5328319
0.44747174,0.5570939
0.45889148,0.54428905
0.47563854,0.52538794
0.48814613,0.5130642
0.49349013,0.5079773
0.47841683,0.52269053
0.48869297,0.5124222
0.4887631,0.51159394
0.4612336,0.5417655
0.46826723,0.5343463
0.45871407,0.54562646
0.49139813,0.5082062
0.49528518,0.5036984
0.46613476,0.5362356
0.48620793,0.5136972
0.4645143,0.5381285
0.48188925,0.5187637
0.46990612,0.53167045
0.48530498,0.5157446
0.44208306,0.5650293
0.47931847,0.5223289
0.46831363,0.5342787
0.45350212,0.5505292
0.48152968,0.5205325
0.45380655,0.5513126
0.46989694,0.5316705
0.44272882,0.5649236
0.48441818,0.5174304
0.49645475,0.5043543
0.4715961,0.52966124
0.4432894,0.5644471
0.45090818,0.5568086
0.48997083,0.50944287
0.48782417,0.51299435
0.45697802,0.54741794
0.4643357,0.5378977
0.4716095,0.5303573
0.47437882,0.5284818
0.46556458,0.538294
0.49252352,0.508106
0.44986627,0.5574786
0.46091133,0.5445291
0.50005126,0.49945366
0.45918843,0.5443284
0.46714994,0.5356026
0.46127364,0.5429327
0.47940326,0.5221831
0.47409546,0.5266485
0.4870636,0.5133396
0.44605967,0.56189525
0.49412882,0.5048492
0.45768765,0.5453762
0.48767206,0.51416886
0.47756708,0.52370846
0.4732697,0.5293714
0.5035007,0.49643114
0.47849908,0.5222265
0.49390507,0.5061081
0.4659363,0.53751355
0.42865264,0.5835899
0.43643826,0.5707936
0.47658765,0.52371025
0.44090644,0.56791747
0.49884075,0.5018481
0.45403096,0.5489309
0.47845995,0.52151775
0.47878447,0.52252275
0.49165612,0.5085008
0.46657258,0.53881097
0.45043653,0.55446357
0.44617924,0.56078625
0.46717352,0.5354045
0.48772398,0.51323885
0.48829967,0.5125934
0.4896966,0.50932175
0.46336287,0.5395328
0.47357422,0.5289448
0.46161348,0.54241025
0.49718598,0.50266474
0.46286204,0.53940076
0.45604336,0.54849255
0.49079418,0.5116006
0.4869829,0.51331526
0.4602971,0.5427308
0.49718556,0.5021423
0.4870927,0.5138822
0.456918,0.55050737
0.46549413,0.5368783
0.4890292,0.51053286
0.4914676,0.50855666
0.47764403,0.5246437
0.49222544,0.5082672
0.47034076,0.5329812
0.48844653,0.5149704
0.4799276,0.5211331
0.4851045,0.5167347
0.47328848,0.52787536
0.4906607,0.5110042
0.45984757,0.53958875
0.48031563,0.5209881
0.4827318,0.518126
0.48490638,0.5168352
0.47962204,0.5202699
0.4689809,0.5338014
0.4577651,0.54700124
0.41853017,0.59709805
0.47953933,0.5221435
0.45751297,0.5474058
0.47735444,0.5245241
0.4673975,0.5347575
0.44915125,0.5567933
0.4523743,0.5515401
0.4525314,0.55218184
0.48012507,0.52015704
0.47299698,0.5284884
0.489997,0.50935453
0.47860736,0.5225881
0.4935015,0.5063945
0.4689814,0.53512084
0.47757453,0.5235806
0.4839379,0.5168356
0.47421864,0.52762926
0.48226535,0.5178157
0.4748676,0.5275705
0.489563,0.5112813
0.49217945,0.5076885
0.4880907,0.51326716
0.44944957,0.55331516
0.48774225,0.5131234
0.46325907,0.5401125
0.4812232,0.5204048
0.42629665,0.5867927
0.49332434,0.50742996
0.4421601,0.564491
0.4550682,0.55042917
0.473414,0.5280096
0.47233436,0.5294975
0.49901465,0.500794
0.4582559,0.5453927
0.4844859,0.5161455
0.48101625,0.51821154
0.46473446,0.5396692
0.4962797,0.5025856
0.48429814,0.5147987
0.48501986,0.51550144
0.45798877,0.5474316
0.4824454,0.5162614
0.45119214,0.55344284
0.47446463,0.5274628
0.48176536,0.52048874
0.44040573,0.56603587
0.47582328,0.526214
0.42892113,0.58262104
0.48831546,0.5126687
0.48589334,0.5157899
0.4954138,0.5039799
0.47338587,0.5274383
0.49112615,0.5083219
0.47859085,0.5229821
0.47632134,0.52434695
0.4786549,0.52140325
0.454728,0.5509464
0.4542129,0.54906225
0.4777882,0.52248204
0.44474787,0.56156665
0.4880276,0.5121543
0.48098052,0.5213334
0.47816777,0.52350473
0.47217923,0.5300585
0.4770457,0.52437973
0.47954553,0.5218027
0.4699245,0.53277713
0.46485478,0.5380057
0.42950597,0.58235204
0.4890012,0.5127278
0.48800957,0.51343983
0.46098164,0.54251385
0.49455348,0.50536764
0.47958887,0.5222845
0.4663823,0.53698754
0.4853297,0.51451576
0.4640173,0.53877443
0.47008508,0.53255385
0.4633671,0.54020995
0.44382077,0.56136596
0.47116792,0.5312152
0.46154392,0.54346824
0.4596028,0.5441938
0.45192477,0.5540111
0.48734665,0.5126127
0.44557244,0.560718
0.4247659,0.58501023
0.45615783,0.54737437
0.4818306,0.5184926
0.48008448,0.52278924
0.4357898,0.57313764
0.4573519,0.5462349
0.49407196,0.5057448
0.46955112,0.53251433
0.4870962,0.51220375
0.46485943,0.53956735
0.47700122,0.52517897
0.48355886,0.5173667
0.46892363,0.5332103
0.48056176,0.5197891
0.47650623,0.524551
0.45508903,0.55049706
0.48823893,0.51176244
0.47479475,0.52556854
0.45959723,0.5444138
0.4384023,0.5699624
0.46346667,0.5402537
0.47161105,0.5314187
0.46562272,0.53704387
0.4846168,0.5170183
0.47878972,0.52228546
0.49092153,0.5139344
0.4945894,0.50518626
0.45212328,0.5522206
0.44069636,0.567135
0.4772053,0.5247179
0.47964662,0.5203765
0.43188062,0.57779306
0.45309585,0.5512238
0.47553003,0.5261097
0.4785087,0.5231655
0.46217936,0.53943473
0.44650093,0.5588371
0.49922714,0.50163263
0.4583908,0.54784477
0.492988,0.5077441
0.4827937,0.5179391
0.48829,0.5137312
0.46938258,0.5320854
0.44403416,0.5615457
0.454375,0.55143505
0.4324099,0.57706565
0.49822733,0.5004623
0.47285894,0.52752024
0.48671412,0.5181283
0.4583946,0.5447575
0.49348673,0.50635266
0.480507,0.5210094
0.4867536,0.51271945
0.44703773,0.55757284
0.49090803,0.5101126
0.4620974,0.54105777
0.4520816,0.55314547
0.45725888,0.54592067
0.47593716,0.5275281
0.4619606,0.54163533
0.4974059,0.50302815
0.44491932,0.5643094
0.504547,0.49621516
0.4487558,0.5568653
0.4653942,0.53702796
0.44902655,0.55654687
0.4475566,0.55951625
0.46348444,0.53905004
0.47400665,0.5275041
0.49165082,0.51133275
0.45440793,0.5512428
0.4826297,0.51845473
0.48235357,0.5195616
0.44139928,0.565932
0.4515231,0.55450135
0.47553182,0.52529263
0.49571475,0.50249505
0.44808102,0.5565423
0.48035014,0.51942223
0.4521708,0.55305696
0.45491317,0.55038065
0.46363372,0.5396548
0.48819476,0.51334727
0.48687842,0.51190245
0.4536877,0.5515039
0.4916024,0.509042
0.4535627,0.55168515
0.43793762,0.5704665
0.4523448,0.55165976
0.53846014,0.4646322
0.45713705,0.54795015
0.45047426,0.55598205
0.4803878,0.52169085
0.4844981,0.51643705
0.4862906,0.5129449
0.4660925,0.53496796
0.45359376,0.55284184
0.47934535,0.5216144
0.5032113,0.4963087
0.4840655,0.51769704
0.48446035,0.51612383
0.48584652,0.5138584
0.44562915,0.55882657
0.50960094,0.5275366
0.45100746,0.5542691
0.48371762,0.51702726
0.4899131,0.50961727
0.50307214,0.49608067
0.4825968,0.5183106
0.43535867,0.5733251
0.50038034,0.4982516
0.47472158,0.5275134
0.47382382,0.52938354
0.4917777,0.50860506
0.43921405,0.5685753
0.44940397,0.556272
0.49819258,0.5016954
0.48709795,0.5126722
0.48846015,0.513357
0.46536303,0.53831726
0.45352983,0.54981697
0.48327482,0.51573926
0.4606466,0.5422421
0.43477592,0.57432973
0.47447032,0.52634305
0.47003853,0.5309565
0.44317552,0.56400025
0.48923653,0.51161474
0.49510932,0.5034565
0.46677268,0.5367082
0.46158966,0.5430095
0.46019736,0.5434679
0.48013243,0.5203151
0.4562609,0.54742527
0.48359483,0.51785153
0.48349744,0.5185425
0.48935384,0.5119456
0.49041006,0.50914484
0.46978676,0.53267956
0.4562661,0.54830587
0.47370008,0.5291755
0.48472893,0.5167658
0.4893391,0.51047915
0.45661587,0.5418995
0.44870314,0.5570804
0.46080655,0.5422495
0.4879194,0.5124737
0.44320074,0.5638076
0.47096115,0.5307829
0.48648983,0.51239496
0.47792697,0.5229369
0.46157017,0.54227674
0.49790546,0.5020243
0.43177506,0.5786616
0.48567888,0.51482326
0.4899343,0.51226056
0.45252702,0.55393374
0.4525264,0.5527976
0.460775,0.54275215
0.47433278,0.52802575
0.46991304,0.53182083
0.48358598,0.5165676
0.46836123,0.5336388
0.47916776,0.52056164
0.47935227,0.52122056
0.4937163,0.50595164
0.4883271,0.509544
0.46774733,0.53602415
0.45834106,0.54725575
0.48849592,0.51203483
0.49162108,0.5085418
0.48054174,0.5216566
0.49554285,0.50495106
0.4445678,0.5622667
0.48577774,0.51458657
0.4717763,0.5303242
0.49471843,0.5040005
0.4404894,0.56745315
0.49094966,0.5118661
0.49005422,0.5109429
0.49243018,0.50898683
0.49247807,0.5073352
0.4746482,0.5275061
0.47231105,0.52837986
0.48177275,0.5181972
0.493213,0.5059909
0.4724575,0.52936757
0.49102554,0.5070658
0.4762097,0.52592576
0.5092975,0.49156874
0.49142224,0.510186
0.46342224,0.5392685
0.4375734,0.57235163
0.43978536,0.56858647
0.49879706,0.49854136
0.439965,0.5673709
0.45073098,0.55415845
0.48807567,0.5124364
0.47920412,0.52079505
0.48646334,0.5151748
0.50023127,0.5000608
0.48600307,0.52422035
0.44952878,0.5576089
0.4863019,0.51342595
0.48261914,0.51810557
0.48530406,0.51466
0.47762066,0.5255784
0.4839104,0.5167161
0.48620886,0.5144368
0.4946152,0.5062709
0.45530772,0.5497224
0.49836558,0.5012212
0.47642675,0.5263781
0.47873703,0.5228376
0.5041439,0.49616104
0.4786265,0.5221354
0.49441645,0.50635374
0.50160295,0.4991328
0.4789717,0.5198539
0.4871961,0.5126598
0.47280818,0.52906394
0.47962525,0.52096707
0.44882593,0.5574396
0.47452235,0.52669144
0.45704037,0.5473818
0.44697076,0.55898964
0.49432233,0.5051595
0.45159802,0.5542999
0.4900055,0.5115446
0.45930815,0.5451057
0.48675746,0.5138538
0.50553095,0.4948814
